Model,Accuracy,Precision,Recall,F1
Linear SVM,0.9816247582205029,0.9827586206896551,0.8702290076335878,0.9230769230769231
Random Forest,0.97678916827853,0.9819819819819819,0.8320610687022901,0.9008264462809917
Complement NB,0.9738878143133463,0.8768115942028986,0.9236641221374046,0.8996282527881041
SVC (RBF),0.9758220502901354,0.9907407407407407,0.816793893129771,0.895397489539749
Multinomial NB,0.9690522243713733,1.0,0.7557251908396947,0.8608695652173913
Decision Tree,0.9632495164410058,0.8780487804878049,0.8244274809160306,0.8503937007874016
Logistic Regression,0.9574468085106383,0.9887640449438202,0.6717557251908397,0.8
KNN,0.902321083172147,1.0,0.22900763358778625,0.37267080745341613
